,공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
189,"AI(딥러닝) 이미지 처리 개발 및 연구(Python, PyTorch, Ubuntu, AI)",어밸브,"머신러닝, 인공지능(AI), 시스템/네트워크",상시 채용,정규직,4000 ~ 10000 만원,"서울 서초구 반포대로9길 7, (서초동) 3층 어밸브",,,https://programmers.co.kr/job_positions/15515
190,레이더 신호처리 및 알고리즘 S/W 개발직,루미르,"시스템/네트워크, 시스템 소프트웨어, 웹 퍼블리싱",상시 채용,정규직,,"경기 용인시 수지구 신수로 767, (동천동) A동 1103호",,"['C++', 'Python', 'MATLAB', 'C', 'Windows']",https://programmers.co.kr/job_positions/16022
191,PC Application Software 개발,루미르,"서버/백엔드, 시스템 소프트웨어, 응용 프로그램",상시 채용,정규직,4000 ~ 7000 만원,"경기 용인시 수지구 신수로 767, (동천동) A동 621호",,"['C', 'C++', 'C#']",https://programmers.co.kr/job_positions/9843
192,Embedded software 개발,루미르,"시스템 소프트웨어, 임베디드 소프트웨어, 응용 프로그램",상시 채용,정규직,4000 ~ 7000 만원,"경기 용인시 수지구 신수로 767, (동천동) A동 621호",,"['RTOS', 'C', 'C++']",https://programmers.co.kr/job_positions/9962
193,C++ 개발자,스마트캐스트,"프론트엔드, 시스템 소프트웨어, 임베디드 소프트웨어",상시 채용,정규직,3100 ~ 8000 만원,"경기 고양시 일산동구 경의로 235, (백석동) KT 백석빌딩 2층 (주)스마트캐스트",,"['Qt', 'C', 'Git', 'MySQL', 'C++', 'OpenGL', 'SQLite', 'Embedded System']",https://programmers.co.kr/job_positions/13537
194,"커머스 플랫폼 개발자 (백엔드, Node.js)",퍼즐벤처스,서버/백엔드,상시 채용,정규직,3600 ~ 5000 만원,"서울 송파구 백제고분로27길 24-5, (삼전동) ",,"['Node.js', 'MySQL', 'Git', 'AWS RDS', 'AWS EC2', 'JavaScript']",https://programmers.co.kr/job_positions/11599
195,백엔드 개발자,가인지캠퍼스,서버/백엔드,상시 채용,정규직,,"서울 마포구 성지길 39, (합정동) 3층",,"['TypeScript', 'GraphQL', 'NestJS', 'MySQL', 'TypeORM', 'React Native']",https://programmers.co.kr/job_positions/15956
196,프론트엔드 개발자,가인지캠퍼스,프론트엔드,상시 채용,정규직,,"서울 마포구 성지길 39, (합정동) 3층",,"['TypeScript', 'GraphQL', 'React Native', 'Next.js', 'MySQL', 'TypeORM']",https://programmers.co.kr/job_positions/15955
197,AI 인공지능 개발자,누아,,상시 채용,정규직,,"서울 종로구 청계천로 85, (관철동) 10층",,,https://programmers.co.kr/job_positions/15927
198,웹(Web) 백엔드 개발자,누아,서버/백엔드,상시 채용,정규직,,"서울 종로구 청계천로 85, (관철동) 10층",,,https://programmers.co.kr/job_positions/15930
